name,ltla_code,start_date,end_date,vaccines,population,percentage,percentstr
Kensington and Chelsea,E09000020,08/12/2020,21/02/2021,28346,129853,0.22,22
Hammersmith and Fulham,E09000013,08/12/2020,21/02/2021,31797,151268,0.21,21
Islington,E09000019,08/12/2020,21/02/2021,34717,204015,0.17,17
Barking and Dagenham,E09000002,08/12/2020,21/02/2021,34785,154925,0.22,22
Tower Hamlets,E09000030,08/12/2020,21/02/2021,34817,259188,0.13,13
Hackney and City of London,E09000012,08/12/2020,21/02/2021,35954,231252,0.16,16
Westminster,E09000033,08/12/2020,21/02/2021,38267,217237,0.18,18
Kingston upon Thames,E09000021,08/12/2020,21/02/2021,38897,141584,0.27,27
Camden,E09000007,08/12/2020,21/02/2021,42305,222896,0.19,19
Newham,E09000025,08/12/2020,21/02/2021,43931,274995,0.16,16
Richmond upon Thames,E09000027,08/12/2020,21/02/2021,44867,156399,0.29,29
Haringey,E09000014,08/12/2020,21/02/2021,46302,214628,0.22,22
Waltham Forest,E09000031,08/12/2020,21/02/2021,46920,216201,0.22,22
Southwark,E09000028,08/12/2020,21/02/2021,48065,259286,0.19,19
Lewisham,E09000023,08/12/2020,21/02/2021,49103,243110,0.20,20
Merton,E09000024,08/12/2020,21/02/2021,49899,163090,0.31,31
Sutton,E09000029,08/12/2020,21/02/2021,50261,162446,0.31,31
Lambeth,E09000022,08/12/2020,21/02/2021,52564,269734,0.19,19
Greenwich,E09000011,08/12/2020,21/02/2021,54273,224789,0.24,24
Redbridge,E09000026,08/12/2020,21/02/2021,58473,236724,0.25,25
Wandsworth,E09000032,08/12/2020,21/02/2021,59625,270174,0.22,22
Hounslow,E09000018,08/12/2020,21/02/2021,61780,211990,0.29,28
Bexley,E09000004,08/12/2020,21/02/2021,62805,196968,0.32,32
Havering,E09000016,08/12/2020,21/02/2021,62921,206889,0.30,30
Brent,E09000005,08/12/2020,21/02/2021,70188,259474,0.27,27
Harrow,E09000015,08/12/2020,21/02/2021,73265,197750,0.37,37
Hillingdon,E09000017,08/12/2020,21/02/2021,73270,239644,0.31,31
Ealing,E09000009,08/12/2020,21/02/2021,76070,267309,0.28,28
Croydon,E09000008,08/12/2020,21/02/2021,78088,301038,0.26,26
Enfield,E09000010,08/12/2020,21/02/2021,83685,257657,0.32,32
Bromley,E09000006,08/12/2020,21/02/2021,93022,264575,0.35,35
Barnet,E09000003,08/12/2020,21/02/2021,95259,311311,0.31,31
